model,quant,backend,n_ctx,n_threads,prompt_tok_s,decode_tok_s,peak_ws_mb,load_ms,gpu_mem_mb,gpu_budget_mb,host,date
smollm2-360m-q4km,Q4_K_M,cpu,2048,1,141.56,19.85,402,2486,0,0,xbox-series-s-t1,2026-07-08T13:29:31Z
smollm2-360m-q4km,Q4_K_M,cpu,2048,4,141.30,51.49,402,2408,0,0,xbox-series-s-t4,2026-07-08T13:30:18Z
smollm2-360m-q4km,Q4_K_M,cpu,2048,6,141.46,62.89,402,2420,0,0,xbox-series-s-t6,2026-07-08T13:31:30Z
# t7/t8: STALL (threadpool livelock — spin-wait oversubscription vs ~6 usable Dev Mode cores)
