model,quant,backend,n_ctx,n_threads,prompt_tok_s,decode_tok_s,peak_ws_mb,load_ms,gpu_mem_mb,gpu_budget_mb,n_prompt_tok,n_gen_tok,max_length,host,date,run_index
qwen25-coder-3b,Q4_K_M,cpu,2048,6,46.55,14.73,2044,9770,0,0,293,87,0,xbox-series-s-t6-plookup,2026-08-07T19:58:07Z,2
qwen25-coder-3b,Q4_K_M,cpu,2048,6,46.46,14.74,2044,9792,0,0,293,96,0,xbox-series-s-t6-plookup,2026-08-07T19:58:33Z,3
