model,quant,backend,n_ctx,n_threads,prompt_tok_s,decode_tok_s,peak_ws_mb,load_ms,gpu_mem_mb,gpu_budget_mb,host,date
qwen35-0.8b,Q4_K_M,cpu,2048,6,98.08,35.08,718,4133,0,0,xbox-series-s-t6,2026-07-10T09:29:47Z
lfm25-350m,Q4_K_M,cpu,2048,6,241.40,94.23,321,1430,0,0,xbox-series-s-t6,2026-07-10T09:31:07Z
