model,quant,backend,n_ctx,n_threads,prompt_tok_s,decode_tok_s,peak_ws_mb,load_ms,gpu_mem_mb,gpu_budget_mb,host,date
lfm25-1.2b-instruct,Q4_K_M,cpu,2048,6,75.42,35.38,836,14215,0,0,xbox-series-s-t6,2026-07-16T22:26:26Z
lfm2-2.6b,Q4_K_M,cpu,2048,6,31.90,17.72,1656,33065,0,0,xbox-series-s-t6,2026-07-16T22:28:58Z
