model,quant,backend,n_ctx,n_threads,prompt_tok_s,decode_tok_s,peak_ws_mb,load_ms,gpu_mem_mb,gpu_budget_mb,host,date
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,0.00,66.91,704,0,0,0,xbox-series-s,2026-05-23T10:09:44Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,4,0.00,71.42,771,0,0,0,xbox-series-s-t4,2026-05-23T10:14:55Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,6,0.00,67.96,772,0,0,0,xbox-series-s-t6,2026-05-23T10:16:34Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,0.00,28.15,771,0,0,0,xbox-series-s-t8,2026-05-23T10:17:41Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,0.00,70.90,771,1614,8,3801,xbox-series-s,2026-07-07T11:36:16Z
smollm2-360m-dml-fp16-rmsfix,fp16,ort-genai-dml,2048,8,234.31,43.92,1215,2888,793,3801,xbox-series-s,2026-07-19T08:33:58Z
