ep,ok,forward_ms,gflop_s,resolution,gflop_forward,speedup_vs_cpu,date
directml,1,128.67,2403.1,512x512,309.2,11.10,2026-07-08T08:25:09Z
cpu,1,1428.22,216.5,512x512,309.2,1.00,2026-07-08T08:25:09Z
