model,quant,backend,n_ctx,n_threads,prompt_tok_s,decode_tok_s,peak_ws_mb,load_ms,gpu_mem_mb,gpu_budget_mb,n_prompt_tok,n_gen_tok,max_length,host,date,run_index
qwen25-coder-3b,Q4_K_M,cpu,2048,6,46.27,14.70,2015,5895,0,0,113,96,0,xbox-series-s-t6,2026-08-07T19:59:20Z,2
qwen25-coder-3b,Q4_K_M,cpu,2048,6,46.20,14.70,2015,5900,0,0,113,96,0,xbox-series-s-t6,2026-08-07T19:59:45Z,3
