model,quant,backend,n_ctx,n_threads,prompt_tok_s,decode_tok_s,peak_ws_mb,load_ms,gpu_mem_mb,gpu_budget_mb,host,date
llama32-1b-int4-extdata,int4,ort-genai-cpu,2048,8,79.07,35.03,2275,6535,0,3801,xbox-series-s,2026-07-15T11:23:36Z
llama32-1b-int4-extdata,int4,ort-genai-cpu,2048,8,79.63,34.37,2271,6348,0,3801,xbox-series-s,2026-07-15T13:07:52Z
